name,country,province,population,latitude,longitude,elevation
's-Hertogenbosch,2599,Noord-Brabant,143822,51.68,5.3,6
A Coruña,2600,Galicia,245541,43.37,-8.41,21
Aachen,2601,Nordrhein-Westfalen,236420,50.78,6.08,173
Aarau,2602,Aargau,NULL,47.4,8.05,381
Aba,2603,Abia,1040000,5.12,7.37,205
Abadan,2604,Khuzestan,231476,30.34,48.3,3
Abakaliki,2605,Ebonyi,NULL,6.33,8.1,NULL
Abakan,2606,Khakasiya,184769,53.72,91.47,245
Abancay,2607,Apurímac,NULL,-13.63,-72.88,2377
Abengourou,2608,Comoé,NULL,6.73,-3.48,NULL
Abeokuta,2609,Ogun,595000,7.16,3.35,66
Aberdeen,2610,Scotland,196220,57.15,-2.11,NULL
Abha,2611,Aseer,236157,18.22,42.51,2400
Abidjan,2612,Abidjan,4395243,5.32,-4.03,18
Abilene,2613,Texas,125182,32.45,-99.75,524
Abu Dhabi,2614,United Arab Emirates,1202756,24.47,54.37,NULL
Abuja,2615,Abuja,2940000,9.07,7.48,840
Acapulco,2616,Guerrero,658609,16.86,-99.88,30
Acarigua,2617,Portuguesa,129237,9.56,-69.2,195
Accra,2618,Greater Accra,2070463,5.55,-0.2,61
Acharnes,2619,Attikis,106943,38.08,23.73,186
Ačinsk,2620,Krasnoyarsk,100621,56.25,90.5,220
Ad-Damazīn,2621,An-Nīl al-Azraq,NULL,11.76,34.35,NULL
Ad-Dāmir,2622,Nahr an-Nīl,NULL,17.58,33.97,NULL
Ad-Dammam,2623,Ash Sharqiyah,903312,26.28,50.2,NULL
Aḍ-Ḍuayn,2624,Sharq Dārfūr,137103,11.43,26.17,NULL
Adama,2625,Oromia,456000,8.54,39.27,1712
Adamstown,2626,Pitcairn,50,-25.04,-130.05,60
Adana,2627,Adana,1765981,37,35.32,23
Addis Ababa,2628,Addis Ababa,3860000,9.03,38.74,2355
Adelaide,2629,South Australia,1359087,-34.93,138.6,43
Aden,2630,Yemen,570551,12.8,45.03,6
Adiyaman,2631,Adıyaman,267129,37.76,38.28,764
Ado-Ekiti,2632,Ekiti,465000,7.62,5.22,455
Afyonkarahisar,2633,Afyonkarahisar,251799,38.76,30.54,1021
Agadez,2634,Agadez,118240,16.97,7.98,520
Agadir,2635,Souss Massa Daraa,421844,30.43,-9.6,74
Agartala,2636,Tripura,NULL,23.83,91.27,12.8
Agra,2637,Uttar Pradesh,1585704,27.18,78.02,171
Agri,2638,Ağrı,120390,39.72,43.05,NULL
Águas Lindas de Goiás,2639,Goiás,159138,-15.75,-48.28,1100
Aguascalientes,2640,Aguascalientes,863893,21.85,-102.3,1888
Aguié,2641,Maradi,152788,13.86,8.3,434
Ahmadabad,2642,Gujarat,5577940,23.03,72.58,53
Ahvaz,2643,Khuzestan,1184788,31.32,48.67,17
Aijal,2644,Mizoram,NULL,23.73,92.72,1132
Aioun,2645,Hodh El Gharbi,NULL,16.67,-9.62,NULL
Aix-en-Provence,2646,Provence-Alpes-Côte d'Azur,140684,43.53,5.45,73
Ajaccio,2647,Corse,66245,41.93,8.74,20
Ajmer,2648,Rajasthan,402700,26.45,74.64,486
Akisar,2649,Manisa,129982,38.92,27.83,NULL
Akita,2650,Akita,315814,39.72,140.1,NULL
Akjoujt,2651,Inchiri,NULL,19.75,-14.38,NULL
Akron,2652,Ohio,190469,41.07,-81.52,306
Aksaray,2653,Aksaray,247148,38.37,34.03,980
Aksu,2654,Xinjiang,164092,41.17,80.25,NULL
Aktau,2655,Mangistau,181526,43.65,51.15,-8
Akure,2656,Ondo,575000,7.25,5.2,NULL
Akureyri,2657,Iceland,18893,65.68,-18.1,NULL
Al-Arish,2658,Egypt,191584,31.06,33.83,32
Al-Fūlah,2659,Gharb Kurdufān,NULL,11.8,28.4,NULL
Al-Hufuf,2660,Ash Sharqiyah,660788,25.38,49.58,154
Al-Jubail,2661,Ash Sharqiyah,337778,27,49.67,NULL
Al-Junaynah,2662,Gharb al-Dārfūr,134264,13.45,22.44,800
Al-Qāhirah al-Jadīdah,2663,Egypt,302926,30.05,31.79,270
Al-Qayrawān,2664,Tunisia,139070,35.68,10.1,NULL
Al Ain,2665,United Arab Emirates,426205,24.21,55.74,292
Al Amarah,2666,Maysan,527472,32,47,12
