"sea","country","province"
"Andaman Sea","IND","Andaman and Nicobar Islands"
"Andaman Sea","MYA","Ayeyarwady"
"Andaman Sea","MYA","Bago"
"Andaman Sea","MYA","Mon"
"Andaman Sea","MYA","Yangon"
"Andaman Sea","RI","Aceh"
"Andaman Sea","THA","Thailand"
"Arabian Sea","IND","Goa"
"Arabian Sea","IND","Gujarat"
"Arabian Sea","IND","Karnataka"
"Arabian Sea","IND","Kerala"
"Arabian Sea","IND","Lakshadweep"
"Arabian Sea","IND","Maharashtra"
"Arabian Sea","OM","Oman"
"Arabian Sea","PK","Balochistan"
"Arabian Sea","PK","Sindh"
"Arabian Sea","SO","Somalia"
"Arabian Sea","YE","Yemen"
"Arafura Sea","AUS","Northern Territory"
"Arafura Sea","AUS","Queensland"
"Arafura Sea","PNG","South"
"Arafura Sea","RI","Maluku"
"Arafura Sea","RI","Papua"
"Arafura Sea","RI","Papua Barat"
"Arctic Ocean","CDN","Northwest Territories"
"Arctic Ocean","CDN","Nunavut"
"Arctic Ocean","CDN","Yukon"
"Arctic Ocean","GL","Greenland"
"Arctic Ocean","R","Arkhangelskaya"
"Arctic Ocean","R","Krasnoyarsk"
"Arctic Ocean","SVA","Svalbard"
"Arctic Ocean","USA","Alaska"
"Atlantic Ocean","AG","Antigua and Barbuda"
"Atlantic Ocean","ANG","Bengo"
"Atlantic Ocean","ANG","Benguela"
"Atlantic Ocean","ANG","Cabinda"
"Atlantic Ocean","ANG","Cuanza Sul"
"Atlantic Ocean","ANG","Luanda"
"Atlantic Ocean","ANG","Namibe"
"Atlantic Ocean","ANG","Zaire"
"Atlantic Ocean","AXA","Anguilla"
"Atlantic Ocean","BDS","Barbados"
"Atlantic Ocean","BEN","Benin"
"Atlantic Ocean","BM","Bermuda"
"Atlantic Ocean","BR","Alagoas"
"Atlantic Ocean","BR","Amapá"
"Atlantic Ocean","BR","Bahia"
"Atlantic Ocean","BR","Ceará"
"Atlantic Ocean","BR","Espírito Santo"
"Atlantic Ocean","BR","Maranhão"
"Atlantic Ocean","BR","Pará"
"Atlantic Ocean","BR","Paraíba"
"Atlantic Ocean","BR","Paraná"
"Atlantic Ocean","BR","Pernambuco"
"Atlantic Ocean","BR","Piauí"
"Atlantic Ocean","BR","Rio de Janeiro"
"Atlantic Ocean","BR","Rio Grande do Norte"
"Atlantic Ocean","BR","Rio Grande do Sul"
"Atlantic Ocean","BR","Santa Catarina"
"Atlantic Ocean","BR","São Paulo"
"Atlantic Ocean","BR","Sergipe"
"Atlantic Ocean","BS","Bahamas"
"Atlantic Ocean","BVI","British Virgin Islands"
"Atlantic Ocean","C","Artemisa"
"Atlantic Ocean","C","Ciego de Ávila"
"Atlantic Ocean","C","Guantánamo"
"Atlantic Ocean","C","Holguín"
"Atlantic Ocean","C","Las Tunas"
"Atlantic Ocean","C","Matanzas"
"Atlantic Ocean","C","Mayabeque"
"Atlantic Ocean","C","Sancti Spíritus"
"Atlantic Ocean","C","Villa Clara"
"Atlantic Ocean","CAM","Centre"
"Atlantic Ocean","CAM","Littoral"
