"country","organization","type"
"A","ADB","nonregional member"
"A","AfDB","nonregional member"
"A","AG","member"
"A","BIS","member"
"A","BSEC","observer"
"A","CD","signatory"
"A","CE","member"
"A","CEI","member"
"A","CERN","member"
"A","EAPC","member"
"A","EBRD","member"
"A","ECB","member"
"A","EIB","member"
"A","EMU","member"
"A","ESA","member"
"A","EU","member"
"A","FAO","member"
"A","FATF","member"
"A","G-9","member"
"A","IADB","member"
"A","IAEA","member"
"A","IBRD","member"
"A","ICAO","member"
"A","ICC","national committee"
"A","ICCt","state accepting jurisdiction"
"A","ICJ","accepting compulsory jurisdiction without reservations"
"A","IDA","member"
"A","IEA","member"
"A","IFC","member"
"A","IFRCS","member"
"A","IGAD","partner"
"A","ILO","member"
"A","IMF","member"
"A","IMO","member"
"A","Interpol","member"
"A","IOC","National Olympic Committee"
"A","IOM","member"
"A","IPU","member"
"A","ISO","member"
"A","ITSO","member"
"A","ITU","member"
"A","ITUC","member"
"A","MIGA","member"
"A","MINURSO","member"
"A","NEA","member"
"A","NSG","member"
"A","OAS","observer"
"A","OECD","member"
"A","OIF","observer"
"A","OPCW","member"
"A","OSCE","member"
"A","PCA","member"
"A","PFP","member"
"A","SELEC","observer"
"A","UN","member"
"A","UNCTAD","member"
"A","UNESCO","member"
"A","UNFICYP","member"
"A","UNHCR","member"
"A","UNIDO","member"
"A","UNIFIL","member"
"A","UNTSO","member"
"A","UNWTO","member"
"A","UPU","member"
"A","WCO","member"
"A","WFTU","member"
"A","WHO","member"
"A","WIPO","member"
"A","WMO","member"
"A","WTO","member"
"A","ZC","member"
"AFG","ADB","member"
"AFG","CICA","member"
"AFG","CP","member"
"AFG","ECO","member"
"AFG","EITI","candidate countries"
"AFG","FAO","member"
"AFG","G-77","member"
"AFG","IAEA","member"
"AFG","IBRD","member"
"AFG","ICAO","member"
"AFG","ICC","having direct member"
"AFG","ICCt","state accepting jurisdiction"
"AFG","IDA","member"
"AFG","IDB","member"
"AFG","IFAD","List C"
"AFG","IFC","member"
"AFG","IFRCS","member"
"AFG","ILO","member"
"AFG","IMF","member"
"AFG","Interpol","member"
"AFG","IOC","National Olympic Committee"
"AFG","IOM","member"
"AFG","IPU","member"
"AFG","ISO","member"
"AFG","ITSO","member"
"AFG","ITU","member"
"AFG","MIGA","member"
"AFG","NAM","member"
"AFG","OIC","member"
"AFG","OPCW","member"
"AFG","SAARC","member"
"AFG","SACEP","member"
"AFG","SCO","observer"
"AFG","UN","member"
"AFG","UNCTAD","member"
"AFG","UNESCO","member"
"AFG","UNIDO","member"
"AFG","UNWTO","member"
"AFG","UPU","member"
"AFG","WCO","member"
"AFG","WFTU","member"
"AFG","WHO","member"
"AFG","WIPO","member"
"AFG","WMO","member"
"AFG","WTO","observer"
"AG","ACP","member"
"AG","AOSIS","member"
"AG","C","member"
"AG","Caricom","member"
"AG","CDB","regional member"
"AG","CELAC","member"
"AG","FAO","member"
"AG","G-77","member"
"AG","IBRD","member"
"AG","ICAO","member"
"AG","ICCt","state accepting jurisdiction"
"AG","IFAD","List C"
"AG","IFC","member"
"AG","IFRCS","member"
"AG","ILO","member"
"AG","IMF","member"
"AG","IMO","member"
"AG","IMSO","member"
"AG","Interpol","member"
"AG","IOC","National Olympic Committee"
"AG","IOM","member"
"AG","ISO","subscriber member"
"AG","ITU","member"
"AG","ITUC","member"
"AG","MIGA","member"
