"city","province","country","river","lake","sea"
"Shkodër","Albania","AL",NULL,"Lake Skutari",NULL
"Durrës","Albania","AL",NULL,NULL,"Mediterranean Sea"
"Vlorë","Albania","AL",NULL,NULL,"Mediterranean Sea"
"Kavala","Anatolikis Makedonias kai Thrakis","GR",NULL,NULL,"Mediterranean Sea"
"Athina","Attikis","GR",NULL,NULL,"Mediterranean Sea"
"Peiraias","Attikis","GR",NULL,NULL,"Mediterranean Sea"
"Patra","Dytikis Elladas","GR",NULL,NULL,"Mediterranean Sea"
"Kerkyra","Ionion Nison","GR",NULL,NULL,"Mediterranean Sea"
"Thessaloniki","Kentrikis Makedonias","GR",NULL,NULL,"Mediterranean Sea"
"Iraklio","Kritis","GR",NULL,NULL,"Mediterranean Sea"
"Chania","Kritis","GR",NULL,NULL,"Mediterranean Sea"
"Ermoupoli","Notioy Aigaioy","GR",NULL,NULL,"Mediterranean Sea"
"Rhodes","Notioy Aigaioy","GR",NULL,NULL,"Mediterranean Sea"
"Chalkida","Stereas Elladas","GR",NULL,NULL,"Mediterranean Sea"
"Volos","Thessalias","GR",NULL,NULL,"Mediterranean Sea"
"Mytilini","Boreioy Aigaioy","GR",NULL,NULL,"Mediterranean Sea"
"Larnaka","Cyprus","CY",NULL,NULL,"Mediterranean Sea"
"Lemesos","Cyprus","CY",NULL,NULL,"Mediterranean Sea"
"Skopje","North Macedonia","MK","Vardar",NULL,NULL
"Beograd","Serbia","SRB","Donau",NULL,NULL
"Beograd","Serbia","SRB","Save",NULL,NULL
"Novi Sad","Serbia","SRB","Donau",NULL,NULL
"Kragujevac","Serbia","SRB","Southern Morava",NULL,NULL
"Niš","Serbia","SRB","Southern Morava",NULL,NULL
"Podgorica","Montenegro","MNE","Moraca",NULL,NULL
"Andorra la Vella","Andorra","AND","Valira",NULL,NULL
"Paris","Île-de-France","F","Seine",NULL,NULL
"Paris","Île-de-France","F","Marne",NULL,NULL
"Boulogne-Billancourt","Île-de-France","F","Seine",NULL,NULL
"Argenteuil","Île-de-France","F","Seine",NULL,NULL
"Saint-Denis","Île-de-France","F","Seine",NULL,NULL
"Lyon","Auvergne-Rhône-Alpes","F","Rhone",NULL,NULL
"Lyon","Auvergne-Rhône-Alpes","F","Saone",NULL,NULL
"Grenoble","Auvergne-Rhône-Alpes","F","Isere",NULL,NULL
"Villeurbanne","Auvergne-Rhône-Alpes","F","Rhone",NULL,NULL
"Bordeaux","Nouvelle-Aquitaine","F","Garonne",NULL,NULL
"Limoges","Nouvelle-Aquitaine","F","Vienne",NULL,NULL
"Amiens","Hauts-de-France","F","Somme",NULL,NULL
"Calais","Hauts-de-France","F",NULL,NULL,"North Sea"
"Marseille","Provence-Alpes-Côte d'Azur","F",NULL,NULL,"Mediterranean Sea"
"Nice","Provence-Alpes-Côte d'Azur","F",NULL,NULL,"Mediterranean Sea"
"Toulon","Provence-Alpes-Côte d'Azur","F",NULL,NULL,"Mediterranean Sea"
"Rennes","Bretagne","F","Vilaine",NULL,NULL
"Brest","Bretagne","F",NULL,NULL,"Atlantic Ocean"
"Orléans","Centre-Val de Loire","F","Loire",NULL,NULL
"Tours","Centre-Val de Loire","F","Loire",NULL,NULL
"Nantes","Pays de la Loire","F","Loire",NULL,NULL
"Angers","Pays de la Loire","F","Maine",NULL,NULL
"Le Mans","Pays de la Loire","F","Sarthe",NULL,NULL
"Strasbourg","Grand Est","F","Rhein",NULL,NULL
"Strasbourg","Grand Est","F","Ill",NULL,NULL
"Mulhouse","Grand Est","F","Ill",NULL,NULL
"Metz","Grand Est","F","Mosel",NULL,NULL
"Nancy","Grand Est","F","Meurthe",NULL,NULL
"Rouen","Normandie","F","Seine",NULL,NULL
"Le Havre","Normandie","F","Seine",NULL,"The Channel"
"Besançon","Bourgogne-Franche-Comté","F","Doubs",NULL,NULL
"Toulouse","Occitanie","F","Garonne",NULL,NULL
"Perpignan","Occitanie","F",NULL,NULL,"Mediterranean Sea"
"Ajaccio","Corse","F",NULL,NULL,"Mediterranean Sea"
"Sevilla","Andalucía","E","Guadalquivir",NULL,NULL
"Almería","Andalucía","E",NULL,NULL,"Mediterranean Sea"
"Cádiz","Andalucía","E",NULL,NULL,"Atlantic Ocean"
"Córdoba","Andalucía","E","Guadalquivir",NULL,NULL
"Granada","Andalucía","E","Genil",NULL,NULL
"Huelva","Andalucía","E",NULL,NULL,"Atlantic Ocean"
"Málaga","Andalucía","E",NULL,NULL,"Mediterranean Sea"
"Algeciras","Andalucía","E",NULL,NULL,"Mediterranean Sea"
"Marbella","Andalucía","E",NULL,NULL,"Mediterranean Sea"
"Zaragoza","Aragón","E","Ebro",NULL,NULL
"Gijón","Asturias","E",NULL,NULL,"Atlantic Ocean"
"Palma de Mallorca","Illes Balears","E",NULL,NULL,"Mediterranean Sea"
