"name","river","lake","sea","length","area","source","mountains","sourceelevation","estuary","estuaryelevation"
"Aare","Rhein",NULL,NULL,"288","17620","(46.55,8.2)","Alps","2310","(47.61,8.22)","311"
"Acheloos",NULL,NULL,"Mediterranean Sea","217","6329","(39.67,21.15)","Pindos","1550","(38.33,21.10)","0"
"Acre","Purus",NULL,NULL,"1000","35400","(-11,-70.7)",NULL,NULL,"(-8.75,-67.4)",NULL
"Adda","Po",NULL,NULL,"313","7979","(46.55,10.3)","Alps","2235","(45.13,9.88)","32"
"Agus River",NULL,NULL,"Sulu Sea","37","1645","(7.89,124.25)",NULL,"700","(8.20,124.19)","0"
"Aire","Ouse",NULL,NULL,"123","2308","(54.10,-2.19)","Pennines","405","(53.72,-0.90)","5"
"Aldan","Lena",NULL,NULL,"2273","729000","(56.42,123.79)","Stanovoy Highlands",NULL,"(63.44,129.55)","72"
"Aliakmonas",NULL,NULL,"Mediterranean Sea","297","8813","(40.36,20.79)","Pindos","2270","(40.47,22.65)","0"
"Allegheny River","Ohio River",NULL,NULL,"523","29992","(41.9,-77.9)","Appalachian Mountains","759","(40.42,-80.0)","222"
"Aller","Weser",NULL,NULL,"211","15744","(52.10,11.23)",NULL,"130","(52.94,9.18)","10"
"Allier","Loire",NULL,NULL,"421","14350","(44.59,3.79)","Cevennes","1503","(46.96,3.08)","167"
"Alz","Inn",NULL,NULL,"150","2197","(47.3,12.35)","Alps","1797","(48.3,12.8)","360"
"Alzette","Sauer",NULL,NULL,"73","1172","(49.48,5.96)",NULL,"305","(49.85,6.1)","192"
"Amargosa River",NULL,NULL,NULL,"185","14245","(37.07,-116.69)",NULL,"368","(36.24,-116.86)","-85"
"Amazonas",NULL,NULL,"Atlantic Ocean","3778","7050000","(-4.44,-73.45)",NULL,"88","(0,-50)","0"
"Ammer","Isar",NULL,NULL,"168","3221","(47.57,11.05)","Alps","850","(48.50,11.96)","407"
"Amudarja",NULL,NULL,NULL,"1415","465000","(37.1,68.3)",NULL,"310","(44,59)",NULL
"Amur",NULL,NULL,"Sea of Okhotsk","2824","1855000","(53.33,121.48)",NULL,"305","(53.1,140.73)","0"
"Anadyr",NULL,NULL,"Bering Sea","1150","191000","(67.05,170.84)",NULL,NULL,"(64.73,177.52)","0"
"Angara","Yenissey",NULL,NULL,"2830","1039000","(56.6,113.75)",NULL,"1600","(58.2,92.5)","76"
"Apure","Orinoco",NULL,NULL,"1038","167000","(7.43,-72.30)",NULL,"2400","(7.60,-66.41)","36"
"Apurimac","Tambo",NULL,NULL,"730","66100","(-15.24,-71.84)","Andes","5020","(-12.26,-73.97)","400"
"Araguaia","Tocantins",NULL,NULL,"2198","384800","(-17.97,-53.07)","Brazilian Highlands","760","(-5.37,-48.73)","89"
"Aras","Kura",NULL,NULL,"1072","102000","(39.40,41.29)","Kurdistan","2460","(40.02,48.45)",NULL
"Arauca","Orinoco",NULL,NULL,"1050","34000","(6.69,-72.30)",NULL,"3970","(7.50,-66.51)","37"
"Argeș","Donau",NULL,NULL,"350","12550","(45.55,24.6)","Southern Carpathians","2140","(44.06,26.62)","12"
"Argun","Amur",NULL,NULL,"1620","164000","(49.94,122.46)",NULL,"1200","(53.33,121.48)","305"
"Arkansas","Mississippi",NULL,NULL,"2334","435122","(39.25,-106.3)",NULL,"4260","(34,-91)","33"
"Arno",NULL,NULL,"Mediterranean Sea","240","8200","(43.9,11.7)","Apennin","1385","(43.7,10.2)","0"
"Arrone",NULL,NULL,"Mediterranean Sea","35","125","(42.09,12.28)",NULL,"160","(41.87,12.18)","0"
"Artibonito",NULL,NULL,"Caribbean Sea","343","8948","(18.76,-71.52)",NULL,"630","(19.24,-72.78)","0"
"Arun","Koshi",NULL,NULL,"500","33578","(28.68,85.88)","Himalaya","4700","(26.91,87.16)",NULL
"Aruwimi","Congo",NULL,NULL,"1287","116100","(-11.3,14.7)",NULL,NULL,"(2.5,29.5)","390"
"Asahan",NULL,NULL,"Malakka Strait","147","3741","(2.7,98.7)","Barisan Mountains","905","(3.1,99.2)","0"
